sport,title,event_id,market_id,market_name,liquidity,volume,end_date,token_id,outcome
epl,Liverpool FC vs. Tottenham Hotspur FC,240668,1480751,Will Liverpool FC vs. Tottenham Hotspur FC end in a draw?,190112.5293,4118.2047569999995,2026-03-15T16:30:00Z,38884134897307114491523488529548848404082162282427027859870822739822955962974,YES
epl,Liverpool FC vs. Tottenham Hotspur FC,240668,1480751,Will Liverpool FC vs. Tottenham Hotspur FC end in a draw?,190112.5293,4118.2047569999995,2026-03-15T16:30:00Z,51923453795366591794271496276071094015134700878014207180405746399678317751802,NO
epl,Liverpool FC vs. Tottenham Hotspur FC,240668,1480752,Will Tottenham Hotspur FC win on 2026-03-15?,193288.9989,39569.20004099998,2026-03-15T16:30:00Z,99455241418187642495529445550648546128939146170410824511522791868477388956789,YES
epl,Liverpool FC vs. Tottenham Hotspur FC,240668,1480752,Will Tottenham Hotspur FC win on 2026-03-15?,193288.9989,39569.20004099998,2026-03-15T16:30:00Z,53773949041456643486379937061312758066555318516154206149362865894713675486962,NO
epl,Liverpool FC vs. Tottenham Hotspur FC - More Markets,240784,1481050,Liverpool FC vs. Tottenham Hotspur FC: Both Teams to Score,4476.0027,89.779676,2026-03-15T16:30:00Z,13889936164161991549058316536204970571018110158973524946716602422419632034858,YES
epl,Liverpool FC vs. Tottenham Hotspur FC - More Markets,240784,1481050,Liverpool FC vs. Tottenham Hotspur FC: Both Teams to Score,4476.0027,89.779676,2026-03-15T16:30:00Z,1937869000622166564247211901905233274356540781063937330241487229554464407251,NO
epl,Nottingham Forest FC vs. Fulham FC - More Markets,240788,1481091,Nottingham Forest FC vs. Fulham FC: Both Teams to Score,4530.3504,,2026-03-15T14:00:00Z,75766541037439760059692662658957334534571726223440052392737365526659599408106,YES
epl,Nottingham Forest FC vs. Fulham FC - More Markets,240788,1481091,Nottingham Forest FC vs. Fulham FC: Both Teams to Score,4530.3504,,2026-03-15T14:00:00Z,43433302992949961130377033938034450772601877034574535298347668237776344398304,NO
epl,Crystal Palace FC vs. Leeds United FC - More Markets,240795,1481136,Crystal Palace FC vs. Leeds United FC: Both Teams to Score,4661.1295,58.21596400000001,2026-03-15T14:00:00Z,114193112845153107980720576534501394282862854376028071534307245553072712522963,YES
epl,Crystal Palace FC vs. Leeds United FC - More Markets,240795,1481136,Crystal Palace FC vs. Leeds United FC: Both Teams to Score,4661.1295,58.21596400000001,2026-03-15T14:00:00Z,60283982314960057238097521573230992778977154699434467566662466249483341581125,NO
