user,user_address,timestamp,title,side,outcome,price,size,slug,eventSlug,proxyWallet,asset,conditionId,transactionHash
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 21:22:42,CS Independiente Rivadavia vs. CA Independiente: O/U 4.5,BUY,Under,0.902,39.98,arg-riv1-ind-2026-02-19-total-4pt5,arg-riv1-ind-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,29053586571218066746858391195583640715139554908266415514724063685886130020052,0x12ac0a86f8623508b67272783940fe214aea2c56290e4af545b87a0e2c283842,0x6899672f855842f24d32d1dd6b9307b6d6a55847382a514e00bc7e4e3d011f4e
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 20:45:58,CS Independiente Rivadavia vs. CA Independiente: O/U 3.5,BUY,Under,0.89,18.87,arg-riv1-ind-2026-02-19-total-3pt5,arg-riv1-ind-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,12547819406490184388319884700150136193973488810134033893354296706457070448069,0x0e9fed634fc5617682d17384c74fb378a7bcd60c0958c72eb2679e0f57c74ce6,0x432dcd7c84c1d4af0d52f8ea4effd8ad1c42bb518fe4cc9a133574a7530b33db
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 20:25:12,Manchester City FC vs. Newcastle United FC: O/U 1.5,SELL,Over,0.99,60.0,epl-mac-new-2026-02-21-total-1pt5,epl-mac-new-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,87616356497791520368185872396541919727325060200447953017553135577933272641249,0x02cdf6dbc176ee4ae5be72807d3813f6e2983625fa7d9bf0415459535c4ce166,0xfe616161ad3f63befe6a91d0ce1097fe4e627e867f567310729901b9d516b26f
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 17:11:12,CA Platense vs. CA Barracas Central: O/U 3.5,BUY,Under,0.9,21.0,arg-pla-bar-2026-02-21-total-3pt5,arg-pla-bar-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,60570085792657120728077794534681623644650715298520373994587804830771674428452,0xe83051a775df78ca7e6e468babd314edeea379b0fceb50f7370c3c85e7474a5c,0xadd35c9bd1b3609cc462b723b4d42ed84267260582fa6910b199a52cdbe347d4
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 17:10:24,Manchester City FC vs. Newcastle United FC: O/U 1.5,BUY,Over,0.85,60.0,epl-mac-new-2026-02-21-total-1pt5,epl-mac-new-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,87616356497791520368185872396541919727325060200447953017553135577933272641249,0x02cdf6dbc176ee4ae5be72807d3813f6e2983625fa7d9bf0415459535c4ce166,0x2bd6e6e42871ac7acbd9845444c47071a399fbb16ab8719dd63a9f413bfdca86
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 16:56:48,Aston Villa FC vs. Leeds United FC: O/U 2.5,SELL,Under,0.99,50.0,epl-ast-lee-2026-02-21-total-2pt5,epl-ast-lee-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,101377635564743737965186890415940147165332574008997808671614294633205621537519,0x090e0e08bf1d136c4b3919b3a41a43117789f0d05a41aa68fc14a23ede9353a0,0x7b75b89cee86d5a81ea03aa09a496cf0bbf0099c6e3cc855f74cfea2cf36ded3
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 16:17:52,Aston Villa FC vs. Leeds United FC: O/U 1.5,BUY,Over,0.77,30.0,epl-ast-lee-2026-02-21-total-1pt5,epl-ast-lee-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,3177082822760532021940883083596159741083888830734128817374416472672353626367,0x92d2bb7c6a32db8917039b4226060e3dc665a0c4e0393f47c285899fc3819721,0x6233193625593e19d59bfb70218f783f3d15909fe3226da312c9fa563a528ecb
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 15:27:46,Juventus FC vs. Como 1907: O/U 1.5,SELL,Over,0.999,60.0,sea-juv-com-2026-02-21-total-1pt5,sea-juv-com-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,2371098251563733318553218213590976075456874717926612683433305649533361764974,0xd82ec913a74a51aa28fc8e0e95796628def71c2c0fb71db6aa8f78919070de22,0x549c642976e73a406d4ce06e95e09bfb2a3202df1c33fdb6e04eae58f2491de1
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 15:06:56,Chelsea FC vs. Burnley FC: O/U 4.5,BUY,Under,0.62,40.0,epl-che-bur-2026-02-21-total-4pt5,epl-che-bur-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,41412171203207312074684738040502047261530008769978810584331815531960984346670,0x578adbfbeaed3a54dc8a38f727ac29b48d24ae961a110b42b0d8ac75da84673b,0x17db1ddcb7e5a70077b17c70f4bb5d25cb4c8c5ce23d1e812bb4bcbd3b9db0b6
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 15:05:24,Juventus FC vs. Como 1907: O/U 1.5,BUY,Over,0.83,60.0,sea-juv-com-2026-02-21-total-1pt5,sea-juv-com-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,2371098251563733318553218213590976075456874717926612683433305649533361764974,0xd82ec913a74a51aa28fc8e0e95796628def71c2c0fb71db6aa8f78919070de22,0xfea7f8d7325e65ad669e35e250ff8eed46632c4500c56ec8bb015f89a7ffad0b
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 15:03:06,Aston Villa FC vs. Leeds United FC: O/U 1.5,BUY,Over,0.79,30.0,epl-ast-lee-2026-02-21-total-1pt5,epl-ast-lee-2026-02-21-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,3177082822760532021940883083596159741083888830734128817374416472672353626367,0x92d2bb7c6a32db8917039b4226060e3dc665a0c4e0393f47c285899fc3819721,0x8453eb7b5cf63f528a96783237cf220157e84d7fb6c40eb43e13ebdfb6a6e536
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 01:06:22,Instituto AC Córdoba vs. CA Tucumán: O/U 3.5,SELL,Under,0.991,23.75,arg-iac-cat-2026-02-19-total-3pt5,arg-iac-cat-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,42733830051927959328178345394085788435650445132473393604890239199085678652768,0xcb17bb87cd15ed7659b06aa6226cf461bcb300e7375e952fadd9777e03b75d4d,0x5de364ac21930bb49d17416035a11e69c7d0044122bcec561b9a2630a100b74b
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 01:03:04,Instituto AC Córdoba vs. CA Tucumán: O/U 3.5,SELL,Under,0.94,20.0,arg-iac-cat-2026-02-19-total-3pt5,arg-iac-cat-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,42733830051927959328178345394085788435650445132473393604890239199085678652768,0xcb17bb87cd15ed7659b06aa6226cf461bcb300e7375e952fadd9777e03b75d4d,0xdc8b5ef3efb2197cccbb635bcb09b9e7e630b8939eee28314529213684ad5f01
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 01:01:58,Instituto AC Córdoba vs. CA Tucumán: O/U 3.5,SELL,Under,0.941,15.1,arg-iac-cat-2026-02-19-total-3pt5,arg-iac-cat-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,42733830051927959328178345394085788435650445132473393604890239199085678652768,0xcb17bb87cd15ed7659b06aa6226cf461bcb300e7375e952fadd9777e03b75d4d,0xcc791b5c6462685af675bfd61d19f48f19c3a2903fc5ddbb8f61ca1ec76a82f7
user_S1,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,21/02/2026 00:27:54,Instituto AC Córdoba vs. CA Tucumán: O/U 2.5,SELL,Under,0.4,20.02,arg-iac-cat-2026-02-19-total-2pt5,arg-iac-cat-2026-02-19-more-markets,0x9ea10c9f5eeadf149da34117a7882f2275c9df66,13773603821280886467631381910494776366073519814438404040451367651665869276689,0x50e4dc1ed180b7fc5d755b9a8336d0a805b41e1b8fec4ec200acf7c78dff6291,0xf8fcd3b3ec386b5df0e209d4572aa7526b92e3840c7c3af6d99b0e4fe9bea14f
